1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.3,0.06,0.13,0.02,0.01,0.06,0.16,0.01,0.01,0.07,0.12,0.11,0.03,0.14,0.16,0.01,,,,
0.12,0.03,0.06,0.17,0.17,0.14,0.09,0.09,0.11,0.02,,,,,,,,,,
0.03,0.18,0.08,0.11,0.06,0.21,0.1,0.15,0.04,0.17,0.03,0.11,0.08,0.11,0.01,0.1,0.17,0.12,0.13,0.01
0.15,0.22,0.07,0.06,0.05,0.16,0.02,0.12,0.16,0.22,0.17,0.07,0.11,0.06,0.02,0.1,0.07,0.02,0.14,0.01
0.05,0.12,0.06,0.11,0.08,0.1,0.11,0.09,0.14,0.14,0.18,0.06,0.13,0.01,0.01,0.16,0.18,0.04,0.08,0.15
0.07,0.05,0.08,0.17,0.09,0.2,0.09,0.09,0.06,0.17,0.13,0.08,0.04,0.19,0.03,0.14,0.21,0.01,0.09,0.01
0.13,0.29,0.03,0.03,0.23,0.02,0.07,0.21,0.05,0.1,0.09,0.02,0.15,0.18,0.05,0.09,0.03,0.03,0.19,0.01
0.02,0.08,0.09,0.04,0.02,0.08,0.05,0.06,0.03,0.08,0.01,0.02,0.1,,,,,,,
0.8,0.21,0.51,1.33,1.8,1.18,2.02,0.66,2.27,0.94,0.17,0.53,2.06,1.43,1.13,0.24,0.36,1.19,0.36,0.81
0.4,0.06,0.64,0.44,0.33,0.35,0.68,0.55,0.73,0.19,0.75,0.81,0.9,0.11,0.46,0.7,0.29,0.98,0.32,0.31
3.35,1.71,2.73,0.56,1.75,2.44,1.25,1.31,0.47,2.8,1.71,0.52,0.44,0.58,1.82,0.23,0.67,1.43,2.26,1.97
9.23,6.67,30.08,8.98,3.5,1.54,,,,,,,,,,,,,,
1.36,0.29,1.78,1.39,3.17,0.17,0.41,1.43,,,,,,,,,,,,
18.58,16.58,7.55,5.79,22.11,17.64,1.92,17.78,3.26,12.37,15.96,6.14,9.83,6.53,6.42,7.04,1.03,13.93,1.18,8.36
1.65,1.57,2.74,1.83,2.1,0.69,2.73,4.03,4.07,0.21,0.97,2.64,1.13,1.51,2.13,,,,,
0.23,0.89,0.7,0.32,0.94,0.99,0.91,1.49,1.73,0.68,,,,,,,,,,
0.71,0.68,0.23,0.39,0.66,0.8,0.58,0.78,0.9,0.26,0.29,0.63,0.73,0.08,0.24,,,,,
2.15,0.38,2.23,2.54,0.7,,,,,,,,,,,,,,,
